"Gene_ID","GO_Term"
"MAGI3","GO:0046328"
"MAPK8IP3","GO:0043410"
"SPRY4","GO:0070373"
"MAGI3","GO:0046328"
"TNIP1","GO:0070373"
"SPAG9","GO:0043410"
"MAPK8IP3","GO:0043410"
"MAPK8IP3","GO:0043410"
"MAPK8IP3","GO:0043410"
"RELL1","GO:1900745"
"LAMTOR1","GO:0043410"
"SPAG9","GO:0043410"
"SPRY1","GO:0070373"
"CARTPT","GO:0043410"
"RELL2","GO:1900745"
"SPAG9","GO:0043410"
"MAPK14","GO:0038066"
"SPAG9","GO:0043410"
"MAPK8IP3","GO:0043410"
"TNIP1","GO:0070373"
"TRAF4","GO:0046330"
"LAMTOR2","GO:0043410"
"GRB2","GO:0043408"
"LAMTOR3","GO:0043410"
"HRAS","GO:0043406"
"HRAS","GO:0043410"
"HRAS","GO:0046330"
"HRAS","GO:0070374"
"COPS5","GO:0046328"
"SH3RF2","GO:0046328"
"SH3RF2","GO:0046330"
"FGF1","GO:0043406"
"FGF1","GO:0070374"
"ADRA1B","GO:0043410"
"NRG1","GO:0070374"
"DUSP1","GO:0043407"
"DUSP1","GO:0043409"
"DUSP1","GO:1903753"
"SYK","GO:0043410"
"SYK","GO:0043507"
"SYK","GO:0070372"
"INSR","GO:0043406"
"INSR","GO:0043410"
"SORL1","GO:0043407"
"SHC2","GO:0043410"
"TNIP1","GO:0070373"
"NDST1","GO:0043410"
"FZD8","GO:0043507"
"PDGFRB","GO:0070374"
"CSF1R","GO:0070374"
"FLT4","GO:0043410"
"FLT4","GO:0046330"
"FLT4","GO:0070374"
"GPR37L1","GO:0043410"
"GPR37L1","GO:0043410"
"TEK","GO:0070374"
"DNAJA1","GO:0043508"
"WWC1","GO:0043410"
"PAQR3","GO:0043407"
"PAQR3","GO:0043407"
"STK40","GO:0043408"
"MAPK13","GO:0051403"
"PPEF2","GO:0043409"
"NPFFR2","GO:0043408"
"EGFR","GO:0043406"
"EGFR","GO:0046328"
"EGFR","GO:0070372"
"EGFR","GO:0070374"
"PDE5A","GO:0043406"
"MAP3K3","GO:1900745"
"PHLPP1","GO:0043408"
"PHLPP1","GO:0046328"
"PHLPP1","GO:1900744"
"SPRY1","GO:0043407"
"SPRY1","GO:0070371"
"SPRY1","GO:0070373"
"SPRY1","GO:0070373"
"TRAF2","GO:0043507"
"TRAF2","GO:0046328"
"HGF","GO:0043410"
"HGF","GO:1900744"
"AIDA","GO:0043508"
"AIDA","GO:0043508"
"AIDA","GO:0046329"
"IL6","GO:0043410"
"GPNMB","GO:0070374"
"AR","GO:0043410"
"GSDME","GO:0043410"
"TGFB2","GO:0032874"
"NBR1","GO:0032872"
"SOX9","GO:0070371"
"PRKCZ","GO:0070374"
"PIK3CG","GO:0043406"
"FN1","GO:0070372"
"MAPK8IP3","GO:0043410"
"C1QTNF1","GO:0043410"
"RAP1GDS1","GO:0070376"
"TLR4","GO:0007254"
"TLR4","GO:0032874"
"TLR4","GO:0043406"
"TLR4","GO:0046330"
"TLR4","GO:0051403"
"TLR4","GO:0070371"
"TLR4","GO:0070373"
"TLR4","GO:0070374"
"ITCH","GO:0046329"
"BANK1","GO:0043410"
"IQGAP3","GO:0043410"
"IQGAP3","GO:0070371"
"CSPG4","GO:0043410"
"NCF1","GO:0046330"
"NCF1","GO:1900745"
"NPNT","GO:0070374"
"MAPK11","GO:0051403"
"ADRA1A","GO:0043410"
"ADRA1A","GO:0043410"
"DHX33","GO:0043410"
"AXIN1","GO:0043507"
"AXIN1","GO:0046330"
"PLCG2","GO:0043410"
"PRKCD","GO:0043407"
"HYAL2","GO:0043407"
"ERN1","GO:0043507"
"ERN1","GO:0043507"
"ADAM8","GO:0043406"
"CTNNB1","GO:0043410"
"DUSP4","GO:0070373"
"SRC","GO:0070374"
"FGFR1","GO:0043406"
"FGFR1","GO:0043410"
"MST1R","GO:0043406"
"ADAM9","GO:0043406"
"DAG1","GO:0043409"
"SFRP2","GO:0043508"
"FGB","GO:0070374"
"FGG","GO:0070374"
"MDFIC","GO:0046328"
"BMPER","GO:0070374"
"PRDM15","GO:0043409"
"INPP5K","GO:0043407"
"FSHR","GO:0043408"
"SERPINF2","GO:0046330"
"SERPINF2","GO:0070374"
"EDN1","GO:0043406"
"EDN1","GO:0043507"
"EDN1","GO:0070371"
"CD40","GO:0043406"
"DUSP7","GO:0043407"
"ERN2","GO:0043507"
"HMGCR","GO:0043407"
"NOTCH1","GO:0070374"
"HAND2","GO:0070374"
"HAND2","GO:1900745"
"RET","GO:0043410"
"FKTN","GO:0046329"
"TAOK1","GO:0032874"
"TAOK1","GO:0046330"
"SH2B3","GO:0043407"
"LPAR3","GO:0043410"
"ATP6AP2","GO:0043408"
"TGFBR1","GO:0043410"
"NCOR1","GO:0046329"
"PTPN11","GO:0043408"
"PTPN11","GO:0070374"
"PTPN11","GO:0070374"
"NECAB2","GO:0070374"
"VRK2","GO:0043408"
"EPHB1","GO:0046328"
"EPHB1","GO:0070372"
"TLR3","GO:0007254"
"TLR3","GO:0046330"
"MAP3K13","GO:0007254"
"MAP3K13","GO:0007254"
"MAP3K13","GO:0043507"
"MAP3K13","GO:0051403"
"DMD","GO:0070373"
"WNT5A","GO:0007254"
"WNT5A","GO:0043507"
"WNT5A","GO:0043507"
"WNT5A","GO:0046330"
"PTPRR","GO:0070373"
"HESX1","GO:0070371"
"TRPV4","GO:0046330"
"TRPV4","GO:0070374"
"FLCN","GO:0070373"
"ZDHHC17","GO:0070372"
"MAP2K3","GO:0038066"
"MAP2K3","GO:0043410"
"CYLD","GO:0046329"
"CYLD","GO:1903753"
"STK39","GO:1900745"
"KIT","GO:0043406"
"KIT","GO:0043410"
"EPHA4","GO:0043507"
"EPHA4","GO:0070373"
"CDK10","GO:0043410"
"GRB10","GO:0070371"
"PRDX1","GO:0032872"
"KITLG","GO:0043406"
"DUSP6","GO:0043409"
"DUSP6","GO:0070373"
"MAPK8","GO:0007254"
"MAPK8","GO:0007258"
"MAPK8","GO:0051403"
"ERCC6","GO:0007254"
"MID1","GO:0032874"
"KSR1","GO:0043410"
"IGF1R","GO:0043409"
"IGF1R","GO:0046328"
"EIF2AK2","GO:0032874"
"EIF2AK2","GO:0043410"
"PAFAH1B1","GO:0007254"
"PAFAH1B1","GO:0046329"
"GLIPR2","GO:0070374"
"KLB","GO:0090080"
"ATF2","GO:0007254"
"ATF2","GO:0038066"
"QARS1","GO:0032873"
"RELL1","GO:1900745"
"HACD3","GO:0007254"
"TAOK3","GO:0032874"
"TAOK3","GO:0043507"
"TAOK3","GO:0046329"
"TAOK3","GO:0046330"
"CD81","GO:0043410"
"IGF2","GO:0043410"
"MAP3K4","GO:0043507"
"MAP3K4","GO:0043507"
"MAP3K4","GO:1900745"
"SPAG9","GO:0043410"
"MAP2K1","GO:0043410"
"MAP2K1","GO:0070371"
"MAP2K1","GO:0070374"
"SH3RF3","GO:0046328"
"SH3RF3","GO:0046330"
"JUN","GO:0070374"
"HTR2B","GO:0043406"
"HTR2B","GO:0070371"
"HTR2B","GO:0070371"
"HTR2B","GO:0070374"
"ARL6IP5","GO:0032874"
"AGT","GO:0043407"
"FGF8","GO:0070374"
"CTSH","GO:0070371"
"DVL3","GO:0043507"
"TAB1","GO:0043410"
"STRADB","GO:0007254"
"ROCK1","GO:0043410"
"ADRA2C","GO:0043410"
"CAV3","GO:0043407"
"CAV3","GO:0043409"
"CAV3","GO:1900744"
"IQGAP1","GO:0043410"
"MADD","GO:0043410"
"NF2","GO:0043409"
"LIF","GO:0043410"
"LIF","GO:0070373"
"FGFR3","GO:0043410"
"FGFR3","GO:0070374"
"MAPK8IP1","GO:0007258"
"MAPK8IP1","GO:0046328"
"MAPK8IP1","GO:0046330"
"GRM1","GO:0043410"
"MAP3K5","GO:0007254"
"MAP3K5","GO:0038066"
"MAP3K5","GO:0043410"
"MAP3K5","GO:0043507"
"MAP3K5","GO:0046330"
"MAP3K5","GO:0051403"
"GPR183","GO:0070374"
"EZR","GO:0070373"
"EZR","GO:1903753"
"PDCD10","GO:0032874"
"PDCD10","GO:0043406"
"ITGAV","GO:0070371"
"ERBB4","GO:0070374"
"CCN2","GO:0046330"
"CCN2","GO:0070374"
"THBS1","GO:0043406"
"BRAF","GO:0070371"
"BRAF","GO:0070374"
"BRAF","GO:0070374"
"FLT1","GO:0043406"
"FLT1","GO:0043410"
"SPRED1","GO:0043409"
"SPRED1","GO:0043409"
"SPRED1","GO:0070373"
"RIPK2","GO:0007254"
"RIPK2","GO:0032874"
"RIPK2","GO:0046330"
"RIPK2","GO:0051403"
"RIPK2","GO:0070371"
"RIPK2","GO:0070374"
"TPD52L1","GO:0043406"
"TPD52L1","GO:0046330"
"FOXO1","GO:0032873"
"MBIP","GO:0046330"
"YWHAZ","GO:0070371"
"YWHAZ","GO:0070372"
"FGF23","GO:0070371"
"FGF23","GO:0070374"
"FGF23","GO:0090080"
"EPHA7","GO:0070372"
"MYC","GO:0070371"
"SPRY2","GO:0070373"
"DUSP16","GO:0043409"
"DUSP16","GO:0043508"
"PSCA","GO:0070373"
"KLHL31","GO:0046329"
"NOX4","GO:0043406"
"NOX4","GO:0070374"
"ALKAL2","GO:0070374"
"ALKAL2","GO:0070378"
"ITGB1BP1","GO:0070373"
"DACT1","GO:0046329"
"PAK1","GO:0043507"
"PELI2","GO:0043410"
"FOXM1","GO:0032873"
"ROBO1","GO:0043406"
"ARRB1","GO:0070374"
"LAMTOR1","GO:0043410"
"FGF18","GO:0043406"
"FGF18","GO:0070371"
"FGF18","GO:0070374"
"HDAC3","GO:0046329"
"CDK5RAP3","GO:0043407"
"RGS2","GO:0043407"
"EPHA8","GO:0043410"
"ASH1L","GO:0043409"
"MAGI3","GO:0046328"
"SEMA6A","GO:0070373"
